"","weather","HOUR"
"1","sunny",0
"2","sunny",0
"3","sunny",0
"4","sunny",1
"5","sunny",1
"6","sunny",1
"7","sunny",2
"8","sunny",2
"9","sunny",2
"10","sunny",2
"11","sunny",3
"12","sunny",3
"13","sunny",4
"14","sunny",5
"15","sunny",5
"16","sunny",6
"17","sunny",6
"18","sunny",7
"19","sunny",7
"20","sunny",7
"21","sunny",9
"22","sunny",11
"23","sunny",11
"24","sunny",11
"25","sunny",12
"26","sunny",14
"27","sunny",14
"28","sunny",16
"29","sunny",17
"30","sunny",18
"31","sunny",19
"32","sunny",20
"33","sunny",20
"34","sunny",20
"35","sunny",20
"36","sunny",21
"37","sunny",21
"38","sunny",22
"39","sunny",22
"40","sunny",22
"41","sunny",0
"42","sunny",0
"43","sunny",1
"44","sunny",2
"45","sunny",4
"46","sunny",4
"47","sunny",5
"48","sunny",8
"49","sunny",10
"50","sunny",10
"51","sunny",10
"52","sunny",11
"53","sunny",12
"54","sunny",12
"55","sunny",12
"56","sunny",13
"57","sunny",13
"58","rain",15
"59","rain",15
"60","rain",15
"61","rain",15
"62","sunny",16
"63","sunny",16
"64","sunny",16
"65","sunny",17
"66","sunny",17
"67","sunny",17
"68","sunny",17
"69","sunny",18
"70","sunny",18
"71","sunny",19
"72","sunny",20
"73","sunny",20
"74","sunny",21
"75","sunny",21
"76","sunny",21
"77","sunny",21
"78","sunny",21
"79","sunny",21
"80","sunny",21
"81","sunny",22
"82","sunny",22
"83","sunny",22
"84","sunny",22
"85","sunny",23
"86","sunny",23
"87","sunny",0
"88","sunny",0
"89","sunny",1
"90","sunny",2
"91","sunny",2
"92","sunny",3
"93","sunny",3
"94","sunny",4
"95","sunny",5
"96","sunny",9
"97","sunny",10
"98","sunny",12
"99","sunny",13
"100","sunny",13
"101","sunny",13
"102","sunny",13
"103","sunny",14
"104","sunny",14
"105","sunny",14
"106","sunny",14
"107","sunny",14
"108","sunny",15
"109","sunny",15
"110","sunny",16
"111","sunny",16
"112","sunny",16
"113","sunny",16
"114","sunny",16
"115","sunny",16
"116","sunny",17
"117","sunny",17
"118","sunny",17
"119","sunny",17
"120","sunny",17
"121","sunny",17
"122","sunny",18
"123","sunny",18
"124","sunny",18
"125","sunny",18
"126","sunny",18
"127","sunny",19
"128","sunny",19
"129","sunny",19
"130","sunny",19
"131","sunny",20
"132","sunny",20
"133","sunny",21
"134","sunny",22
"135","sunny",22
"136","sunny",22
"137","sunny",22
"138","sunny",22
"139","sunny",0
"140","sunny",0
"141","sunny",0
"142","sunny",2
"143","sunny",3
"144","sunny",6
"145","sunny",6
"146","sunny",7
"147","sunny",7
"148","sunny",8
"149","sunny",8
"150","sunny",8
"151","sunny",8
"152","sunny",8
"153","sunny",8
"154","sunny",8
"155","sunny",9
"156","sunny",9
"157","sunny",10
"158","sunny",10
"159","sunny",11
"160","sunny",11
"161","sunny",11
"162","sunny",11
"163","sunny",11
"164","sunny",11
"165","sunny",11
"166","sunny",12
"167","sunny",13
"168","sunny",13
"169","sunny",13
"170","sunny",13
"171","sunny",13
"172","sunny",14
"173","sunny",14
"174","sunny",14
"175","sunny",14
"176","sunny",14
"177","sunny",16
"178","sunny",16
"179","sunny",16
"180","sunny",16
"181","sunny",16
"182","sunny",17
"183","sunny",17
"184","sunny",17
"185","sunny",17
"186","sunny",17
"187","rain",18
"188","rain",18
"189","sunny",19
"190","sunny",19
"191","sunny",19
"192","sunny",19
"193","sunny",20
"194","sunny",23
"195","sunny",4
"196","sunny",6
"197","sunny",6
"198","sunny",7
"199","sunny",7
"200","rain",8
"201","rain",8
"202","rain",8
"203","rain",9
"204","rain",10
"205","rain",10
"206","rain",10
"207","rain",10
"208","rain",10
"209","rain",10
"210","rain",10
"211","rain",11
"212","rain",11
"213","rain",11
"214","rain",11
"215","rain",11
"216","rain",11
"217","rain",12
"218","rain",12
"219","rain",12
"220","rain",12
"221","sunny",13
"222","sunny",13
"223","sunny",13
"224","sunny",13
"225","sunny",14
"226","sunny",14
"227","sunny",15
"228","sunny",15
"229","rain",16
"230","rain",16
"231","rain",16
"232","rain",17
"233","rain",17
"234","rain",17
"235","rain",17
"236","rain",17
"237","sunny",18
"238","sunny",18
"239","sunny",18
"240","sunny",19
"241","sunny",20
"242","sunny",20
"243","sunny",20
"244","sunny",20
"245","sunny",21
"246","sunny",21
"247","sunny",22
"248","sunny",22
"249","sunny",22
"250","sunny",23
"251","sunny",23
"252","sunny",0
"253","sunny",0
"254","sunny",0
"255","sunny",4
"256","sunny",4
"257","sunny",4
"258","sunny",7
"259","sunny",7
